2024-03-26 06:27:48 | INFO     | BSRNN | Utt=50 | fname=sixteen_p232_054.wav | PESQ=2.878 | PESQi=0.853 | SISNR=17.469 | SISNRi=5.761 | CSIG=4.041 | CSIGi=0.595 |CBAK=3.415 | CBAKi=0.710 | COVL=3.439 | COVLi=0.724 | 
2024-03-26 06:27:49 | INFO     | BSRNN | Utt=51 | fname=sixteen_p232_055.wav | PESQ=2.301 | PESQi=0.469 | SISNR=14.235 | SISNRi=8.938 | CSIG=2.981 | CSIGi=0.116 |CBAK=2.746 | CBAKi=0.570 | COVL=2.611 | COVLi=0.293 | 
2024-03-26 06:27:52 | INFO     | BSRNN | Utt=52 | fname=sixteen_p232_056.wav | PESQ=2.052 | PESQi=0.782 | SISNR=11.411 | SISNRi=10.903 | CSIG=2.995 | CSIGi=0.843 |CBAK=2.551 | CBAKi=0.939 | COVL=2.493 | COVLi=0.861 | 
2024-03-26 06:27:54 | INFO     | BSRNN | Utt=53 | fname=sixteen_p232_057.wav | PESQ=3.181 | PESQi=0.146 | SISNR=16.651 | SISNRi=0.570 | CSIG=4.453 | CSIGi=-0.118 |CBAK=3.449 | CBAKi=-0.016 | COVL=3.811 | COVLi=-0.014 | 
2024-03-26 06:27:56 | INFO     | BSRNN | Utt=54 | fname=sixteen_p232_058.wav | PESQ=3.831 | PESQi=0.481 | SISNR=14.314 | SISNRi=2.585 | CSIG=4.865 | CSIGi=0.111 |CBAK=3.919 | CBAKi=0.248 | COVL=4.362 | COVLi=0.283 | 
2024-03-26 06:27:57 | INFO     | BSRNN | Utt=55 | fname=sixteen_p232_059.wav | PESQ=2.671 | PESQi=0.410 | SISNR=9.865 | SISNRi=5.155 | CSIG=3.886 | CSIGi=0.189 |CBAK=2.610 | CBAKi=0.303 | COVL=3.227 | COVLi=0.271 | 
2024-03-26 06:27:58 | INFO     | BSRNN | Utt=56 | fname=sixteen_p232_060.wav | PESQ=2.621 | PESQi=0.398 | SISNR=5.033 | SISNRi=4.936 | CSIG=3.162 | CSIGi=-0.024 |CBAK=2.456 | CBAKi=0.281 | COVL=2.829 | COVLi=0.165 | 
2024-03-26 06:28:00 | INFO     | BSRNN | Utt=57 | fname=sixteen_p232_061.wav | PESQ=3.332 | PESQi=0.514 | SISNR=19.443 | SISNRi=2.887 | CSIG=4.625 | CSIGi=0.310 |CBAK=3.841 | CBAKi=0.451 | COVL=3.997 | COVLi=0.418 | 
2024-03-26 06:28:02 | INFO     | BSRNN | Utt=58 | fname=sixteen_p232_062.wav | PESQ=2.940 | PESQi=0.939 | SISNR=18.732 | SISNRi=7.333 | CSIG=4.205 | CSIGi=0.644 |CBAK=3.485 | CBAKi=0.850 | COVL=3.569 | COVLi=0.804 | 
2024-03-26 06:28:04 | INFO     | BSRNN | Utt=59 | fname=sixteen_p232_063.wav | PESQ=2.381 | PESQi=0.461 | SISNR=16.169 | SISNRi=10.720 | CSIG=3.768 | CSIGi=0.494 |CBAK=2.898 | CBAKi=0.618 | COVL=3.060 | COVLi=0.492 | 
2024-03-26 06:28:06 | INFO     | BSRNN | Utt=60 | fname=sixteen_p232_064.wav | PESQ=1.598 | PESQi=0.278 | SISNR=13.037 | SISNRi=12.056 | CSIG=2.889 | CSIGi=0.038 |CBAK=2.210 | CBAKi=0.513 | COVL=2.203 | COVLi=0.177 | 
2024-03-26 06:28:07 | INFO     | BSRNN | Utt=61 | fname=sixteen_p232_065.wav | PESQ=3.079 | PESQi=0.734 | SISNR=17.400 | SISNRi=2.149 | CSIG=4.062 | CSIGi=0.454 |CBAK=3.294 | CBAKi=0.588 | COVL=3.522 | COVLi=0.609 | 
2024-03-26 06:28:09 | INFO     | BSRNN | Utt=62 | fname=sixteen_p232_066.wav | PESQ=3.322 | PESQi=0.662 | SISNR=16.354 | SISNRi=4.879 | CSIG=4.459 | CSIGi=0.426 |CBAK=3.626 | CBAKi=0.480 | COVL=3.882 | COVLi=0.542 | 
2024-03-26 06:28:11 | INFO     | BSRNN | Utt=63 | fname=sixteen_p232_067.wav | PESQ=3.135 | PESQi=0.549 | SISNR=12.302 | SISNRi=6.034 | CSIG=4.386 | CSIGi=0.264 |CBAK=3.282 | CBAKi=0.518 | COVL=3.761 | COVLi=0.407 | 
2024-03-26 06:28:13 | INFO     | BSRNN | Utt=64 | fname=sixteen_p232_068.wav | PESQ=3.176 | PESQi=1.190 | SISNR=9.099 | SISNRi=7.763 | CSIG=4.056 | CSIGi=0.796 |CBAK=3.240 | CBAKi=0.933 | COVL=3.613 | COVLi=1.012 | 
2024-03-26 06:28:15 | INFO     | BSRNN | Utt=65 | fname=sixteen_p232_069.wav | PESQ=3.084 | PESQi=0.763 | SISNR=18.053 | SISNRi=1.687 | CSIG=4.261 | CSIGi=0.464 |CBAK=3.578 | CBAKi=0.454 | COVL=3.667 | COVLi=0.619 | 
2024-03-26 06:28:17 | INFO     | BSRNN | Utt=66 | fname=sixteen_p232_070.wav | PESQ=2.764 | PESQi=0.849 | SISNR=13.504 | SISNRi=2.230 | CSIG=3.980 | CSIGi=0.561 |CBAK=3.165 | CBAKi=0.518 | COVL=3.356 | COVLi=0.706 | 
2024-03-26 06:28:19 | INFO     | BSRNN | Utt=67 | fname=sixteen_p232_071.wav | PESQ=1.833 | PESQi=0.325 | SISNR=13.803 | SISNRi=7.622 | CSIG=2.923 | CSIGi=0.481 |CBAK=2.548 | CBAKi=0.395 | COVL=2.331 | COVLi=0.413 | 
2024-03-26 06:28:20 | INFO     | BSRNN | Utt=68 | fname=sixteen_p232_072.wav | PESQ=1.674 | PESQi=0.518 | SISNR=8.070 | SISNRi=7.392 | CSIG=2.770 | CSIGi=0.656 |CBAK=2.192 | CBAKi=0.575 | COVL=2.168 | COVLi=0.615 | 
2024-03-26 06:28:22 | INFO     | BSRNN | Utt=69 | fname=sixteen_p232_073.wav | PESQ=2.727 | PESQi=0.314 | SISNR=17.948 | SISNRi=2.505 | CSIG=3.775 | CSIGi=0.247 |CBAK=3.066 | CBAKi=0.434 | COVL=3.206 | COVLi=0.286 | 
2024-03-26 06:28:23 | INFO     | BSRNN | Utt=70 | fname=sixteen_p232_074.wav | PESQ=2.435 | PESQi=0.225 | SISNR=17.771 | SISNRi=6.529 | CSIG=3.050 | CSIGi=0.008 |CBAK=3.048 | CBAKi=0.405 | COVL=2.738 | COVLi=0.117 | 
2024-03-26 06:28:25 | INFO     | BSRNN | Utt=71 | fname=sixteen_p232_075.wav | PESQ=2.491 | PESQi=1.007 | SISNR=13.378 | SISNRi=7.085 | CSIG=3.612 | CSIGi=0.802 |CBAK=2.853 | CBAKi=0.817 | COVL=3.023 | COVLi=0.923 | 
2024-03-26 06:28:26 | INFO     | BSRNN | Utt=72 | fname=sixteen_p232_076.wav | PESQ=1.927 | PESQi=0.733 | SISNR=9.527 | SISNRi=8.743 | CSIG=3.194 | CSIGi=0.826 |CBAK=2.350 | CBAKi=0.804 | COVL=2.506 | COVLi=0.831 | 
2024-03-26 06:28:27 | INFO     | BSRNN | Utt=73 | fname=sixteen_p232_077.wav | PESQ=3.759 | PESQi=0.592 | SISNR=17.176 | SISNRi=2.047 | CSIG=4.785 | CSIGi=0.132 |CBAK=3.669 | CBAKi=0.304 | COVL=4.265 | COVLi=0.339 | 
2024-03-26 06:28:30 | INFO     | BSRNN | Utt=74 | fname=sixteen_p232_078.wav | PESQ=3.464 | PESQi=0.142 | SISNR=14.476 | SISNRi=3.441 | CSIG=4.425 | CSIGi=-0.088 |CBAK=3.469 | CBAKi=0.138 | COVL=3.938 | COVLi=0.007 | 
2024-03-26 06:28:32 | INFO     | BSRNN | Utt=75 | fname=sixteen_p232_079.wav | PESQ=3.127 | PESQi=0.415 | SISNR=8.868 | SISNRi=2.987 | CSIG=4.046 | CSIGi=0.083 |CBAK=3.103 | CBAKi=0.243 | COVL=3.570 | COVLi=0.232 | 
2024-03-26 06:28:33 | INFO     | BSRNN | Utt=76 | fname=sixteen_p232_080.wav | PESQ=1.762 | PESQi=0.137 | SISNR=6.558 | SISNRi=7.297 | CSIG=2.891 | CSIGi=-0.082 |CBAK=1.997 | CBAKi=0.206 | COVL=2.276 | COVLi=0.023 | 
2024-03-26 06:28:34 | INFO     | BSRNN | Utt=77 | fname=sixteen_p232_081.wav | PESQ=3.305 | PESQi=0.783 | SISNR=18.819 | SISNRi=3.080 | CSIG=4.572 | CSIGi=0.466 |CBAK=3.778 | CBAKi=0.585 | COVL=3.948 | COVLi=0.631 | 
2024-03-26 06:28:35 | INFO     | BSRNN | Utt=78 | fname=sixteen_p232_082.wav | PESQ=2.419 | PESQi=0.950 | SISNR=18.219 | SISNRi=7.928 | CSIG=3.371 | CSIGi=1.088 |CBAK=3.023 | CBAKi=1.181 | COVL=2.845 | COVLi=1.097 | 
2024-03-26 06:28:37 | INFO     | BSRNN | Utt=79 | fname=sixteen_p232_083.wav | PESQ=2.552 | PESQi=0.690 | SISNR=15.347 | SISNRi=9.902 | CSIG=3.746 | CSIGi=0.415 |CBAK=3.005 | CBAKi=0.706 | COVL=3.129 | COVLi=0.570 | 
2024-03-26 06:28:38 | INFO     | BSRNN | Utt=80 | fname=sixteen_p232_084.wav | PESQ=1.435 | PESQi=0.223 | SISNR=12.407 | SISNRi=12.820 | CSIG=2.091 | CSIGi=-0.376 |CBAK=2.125 | CBAKi=0.489 | COVL=1.712 | COVLi=-0.057 | 
2024-03-26 06:28:39 | INFO     | BSRNN | Utt=81 | fname=sixteen_p232_085.wav | PESQ=3.748 | PESQi=-0.065 | SISNR=17.736 | SISNRi=1.912 | CSIG=4.822 | CSIGi=-0.178 |CBAK=3.787 | CBAKi=-0.061 | COVL=4.293 | COVLi=-0.250 | 
2024-03-26 06:28:41 | INFO     | BSRNN | Utt=82 | fname=sixteen_p232_086.wav | PESQ=3.339 | PESQi=0.240 | SISNR=15.047 | SISNRi=4.317 | CSIG=4.557 | CSIGi=-0.042 |CBAK=3.528 | CBAKi=0.330 | COVL=3.953 | COVLi=0.090 | 
2024-03-26 06:28:42 | INFO     | BSRNN | Utt=83 | fname=sixteen_p232_087.wav | PESQ=3.702 | PESQi=0.587 | SISNR=9.234 | SISNRi=3.456 | CSIG=4.647 | CSIGi=0.160 |CBAK=3.295 | CBAKi=0.346 | COVL=4.141 | COVLi=0.355 | 
2024-03-26 06:28:44 | INFO     | BSRNN | Utt=84 | fname=sixteen_p232_088.wav | PESQ=2.844 | PESQi=0.719 | SISNR=8.642 | SISNRi=7.155 | CSIG=4.067 | CSIGi=0.480 |CBAK=2.954 | CBAKi=0.620 | COVL=3.422 | COVLi=0.603 | 
2024-03-26 06:28:46 | INFO     | BSRNN | Utt=85 | fname=sixteen_p232_089.wav | PESQ=3.038 | PESQi=1.086 | SISNR=17.361 | SISNRi=1.160 | CSIG=4.265 | CSIGi=0.854 |CBAK=3.541 | CBAKi=0.716 | COVL=3.644 | COVLi=0.981 | 
2024-03-26 06:28:48 | INFO     | BSRNN | Utt=86 | fname=sixteen_p232_090.wav | PESQ=2.649 | PESQi=0.824 | SISNR=14.950 | SISNRi=3.554 | CSIG=3.878 | CSIGi=0.592 |CBAK=3.128 | CBAKi=0.514 | COVL=3.246 | COVLi=0.706 | 
2024-03-26 06:28:49 | INFO     | BSRNN | Utt=87 | fname=sixteen_p232_091.wav | PESQ=2.324 | PESQi=0.831 | SISNR=14.012 | SISNRi=8.846 | CSIG=3.379 | CSIGi=0.791 |CBAK=2.839 | CBAKi=0.824 | COVL=2.831 | COVLi=0.836 | 
2024-03-26 06:28:51 | INFO     | BSRNN | Utt=88 | fname=sixteen_p232_092.wav | PESQ=2.041 | PESQi=0.636 | SISNR=5.724 | SISNRi=5.230 | CSIG=3.118 | CSIGi=0.657 |CBAK=2.273 | CBAKi=0.532 | COVL=2.532 | COVLi=0.666 | 
2024-03-26 06:28:53 | INFO     | BSRNN | Utt=89 | fname=sixteen_p232_093.wav | PESQ=2.987 | PESQi=0.695 | SISNR=16.365 | SISNRi=0.254 | CSIG=4.002 | CSIGi=0.510 |CBAK=3.475 | CBAKi=0.487 | COVL=3.489 | COVLi=0.609 | 
2024-03-26 06:28:55 | INFO     | BSRNN | Utt=90 | fname=sixteen_p232_094.wav | PESQ=2.742 | PESQi=0.975 | SISNR=15.750 | SISNRi=4.291 | CSIG=3.961 | CSIGi=0.839 |CBAK=3.270 | CBAKi=0.721 | COVL=3.346 | COVLi=0.918 | 
